Synonyms	Symbol	Chromosome
ACT	ACTG2	2
ACTA3	ACTG2	2
ACTE	ACTG2	2
ACTL3	ACTG2	2
ACTSG	ACTG2	2
VSCM	ACTG2	2
ACTG1P1	ACTG1P1	3
ACT1GP1	ACTG1P1	3
ACTGP1	ACTG1P1	3
HY-psi-gamma-AC6	ACTG1P1	3
ACTG1P2	ACTG1P2	Y
ACTGP2	ACTG1P2	Y
ACTL2	ACTG1P2	Y
ACTG1P3	ACTG1P3	20
ACTGP3	ACTG1P3	20
dJ545L17.4	ACTG1P3	20
ACTG1P6	ACTG1P6	1
ACTGP6	ACTG1P6	1
ACTG1P7	ACTG1P7	1
ACTGP7	ACTG1P7	1
ACTG1P8	ACTG1P8	1
ACTGP8	ACTG1P8	1
ACTN4	ACTN4	19
ACTININ-4	ACTN4	19
FSGS	ACTN4	19
FSGS1	ACTN4	19
ACTG1P9	ACTG1P9	6
ACTGP9	ACTG1P9	6
ACTG1P10	ACTG1P10	X
ACTGP10	ACTG1P10	X
ACTL1	ACTG1P10	X
ACTP1	ACTG1P10	X
ACTL6A	ACTL6A	3
ACTL6	ACTL6A	3
ARPN-BETA	ACTL6A	3
Arp4	ACTL6A	3
BAF53A	ACTL6A	3
INO80K	ACTL6A	3
ACTN1	ACTN1	14
BDPLT15	ACTN1	14
ACTN2	ACTN2	1
CMD1AA	ACTN2	1
CMH23	ACTN2	1
ACTN3	ACTN3	11
-	ACTN3	11
ACVR1	ACVR1	2
ACTRI	ACVR1	2
ACVR1A	ACVR1	2
ACVRLK2	ACVR1	2
ALK2	ACVR1	2
FOP	ACVR1	2
SKR1	ACVR1	2
TSRI	ACVR1	2
ACVR1B	ACVR1B	12
ACTRIB	ACVR1B	12
ACVRLK4	ACVR1B	12
ALK4	ACVR1B	12
SKR2	ACVR1B	12
ACVR2A	ACVR2A	2
ACTRII	ACVR2A	2
ACVR2	ACVR2A	2
ACVR2B	ACVR2B	3
ACTRIIB	ACVR2B	3
ActR-IIB	ACVR2B	3
HTX4	ACVR2B	3
ACVRL1	ACVRL1	12
ACVRLK1	ACVRL1	12
ALK-1	ACVRL1	12
ALK1	ACVRL1	12
HHT	ACVRL1	12
HHT2	ACVRL1	12
ORW2	ACVRL1	12
SKR3	ACVRL1	12
TSR-I	ACVRL1	12
ACY1	ACY1	3
ACY-1	ACY1	3
ACY1D	ACY1	3
HEL-S-5	ACY1	3
ACYP1	ACYP1	14
ACYPE	ACYP1	14
ACYP2	ACYP2	2
ACYM	ACYP2	2
ACYP	ACYP2	2
ADA	ADA	20
-	ADA	20
ADAM8	ADAM8	10
CD156	ADAM8	10
