Synonyms	Symbol	Chromosome
TORC1	CRTC1	19
WAMTP1	CRTC1	19
UFL1	UFL1	6
KIAA0776	UFL1	6
Maxer	UFL1	6
NLBP	UFL1	6
RCAD	UFL1	6
RRP8	RRP8	11
KIAA0409	RRP8	11
NML	RRP8	11
ICE1	ICE1	5
KIAA0947	ICE1	5
SRGAP2	SRGAP2	1
ARHGAP34	SRGAP2	1
FNBP2	SRGAP2	1
SRGAP2A	SRGAP2	1
SRGAP3	SRGAP2	1
SMG5	SMG5	1
EST1B	SMG5	1
LPTS-RP1	SMG5	1
LPTSRP1	SMG5	1
SMG-5	SMG5	1
AHCYL2	AHCYL2	7
ADOHCYASE3	AHCYL2	7
IRBIT2	AHCYL2	7
MAU2	MAU2	19
KIAA0892	MAU2	19
MAU2L	MAU2	19
SCC4	MAU2	19
mau-2	MAU2	19
SPECC1L	SPECC1L	22
CYTSA	SPECC1L	22
GBBB2	SPECC1L	22
OBLFC1	SPECC1L	22
NCSTN	NCSTN	1
ATAG1874	NCSTN	1
NUDCD3	NUDCD3	7
NudCL	NUDCD3	7
SIK3	SIK3	11
L19	SIK3	11
QSK	SIK3	11
SIK-3	SIK3	11
MED13L	MED13L	12
MRFACD	MED13L	12
PROSIT240	MED13L	12
THRAP2	MED13L	12
TRAP240L	MED13L	12
ZDHHC17	ZDHHC17	12
HIP14	ZDHHC17	12
HIP3	ZDHHC17	12
HSPC294	ZDHHC17	12
HYPH	ZDHHC17	12
KIAA0368	KIAA0368	9
ECM29	KIAA0368	9
ADNP	ADNP	20
ADNP1	ADNP	20
HVDAS	ADNP	20
MRD28	ADNP	20
LARS2	LARS2	3
HLASA	LARS2	3
LEURS	LARS2	3
PRLTS4	LARS2	3
mtLeuRS	LARS2	3
PIP5K1C	PIP5K1C	19
LCCS3	PIP5K1C	19
PIP5K-GAMMA	PIP5K1C	19
PIP5K1-gamma	PIP5K1C	19
PIP5Kgamma	PIP5K1C	19
NCAPH	NCAPH	2
BRRN1	NCAPH	2
CAP-H	NCAPH	2
PPWD1	PPWD1	5
-	PPWD1	5
CTDNEP1	CTDNEP1	17
DULLARD	CTDNEP1	17
HSA011916	CTDNEP1	17
NET56	CTDNEP1	17
ATP13A2	ATP13A2	1
CLN12	ATP13A2	1
HSA9947	ATP13A2	1
KRPPD	ATP13A2	1
PARK9	ATP13A2	1
FRAT2	FRAT2	10
-	FRAT2	10
FBXO46	FBXO46	19
20D7-FC4	FBXO46	19
FBXO34L	FBXO46	19
Fbx46	FBXO46	19
EXOSC2	EXOSC2	9
RRP4	EXOSC2	9
Rrp4p	EXOSC2	9
hRrp4p	EXOSC2	9
p7	EXOSC2	9
DICER1	DICER1	14
DCR1	DICER1	14
Dicer	DICER1	14
Dicer1e	DICER1	14
HERNA	DICER1	14
K12H4.8-LIKE	DICER1	14
MNG1	DICER1	14
RMSE2	DICER1	14
COTL1	COTL1	16
CLP	COTL1	16
SIRT5	SIRT5	6
SIR2L5	SIRT5	6
SIRT4	SIRT4	12
SIR2L4	SIRT4	12
SIRT3	SIRT3	11
SIR2L3	SIRT3	11
SIRT1	SIRT1	10
SIR2	SIRT1	10
SIR2L1	SIRT1	10
SIR2alpha	SIRT1	10
COMMD3	COMMD3	10
BUP	COMMD3	10
C10orf8	COMMD3	10
NCS1	NCS1	9
FLUP	NCS1	9
FREQ	NCS1	9
ZFPM2	ZFPM2	8
DIH3	ZFPM2	8
FOG2	ZFPM2	8
SRXY9	ZFPM2	8
ZC2HC11B	ZFPM2	8
ZNF89B	ZFPM2	8
hFOG-2	ZFPM2	8
KCNH4	KCNH4	17
BEC2	KCNH4	17
ELK1	KCNH4	17
Kv12.3	KCNH4	17
KCNH3	KCNH3	12
BEC1	KCNH3	12
ELK2	KCNH3	12
Kv12.2	KCNH3	12
MLYCD	MLYCD	16
MCD	MLYCD	16
CRB1	CRB1	1
LCA8	CRB1	1
RP12	CRB1	1
NOMO1	NOMO1	16
Nomo	NOMO1	16
PM5	NOMO1	16
ITGB3BP	ITGB3BP	1
CENP-R	ITGB3BP	1
CENPR	ITGB3BP	1
HSU37139	ITGB3BP	1
NRIF3	ITGB3BP	1
TAP20	ITGB3BP	1
TMED3	TMED3	15
C15orf22	TMED3	15
P24B	TMED3	15
p24g4	TMED3	15
p26	TMED3	15
TDRD7	TDRD7	9
CATC4	TDRD7	9
PCTAIRE2BP	TDRD7	9
TRAP	TDRD7	9
GRIP1	GRIP1	12
GRIP	GRIP1	12
SLC7A8	SLC7A8	14
LAT2	SLC7A8	14
LPI-PC1	SLC7A8	14
RYBP	RYBP	3
AAP1	RYBP	3
APAP-1	RYBP	3
DEDAF	RYBP	3
YEAF1	RYBP	3
TPSD1	TPSD1	16
MCP7-LIKE	TPSD1	16
MCP7L1	TPSD1	16
MMCP-7L	TPSD1	16
AP4E1	AP4E1	15
CPSQ4	AP4E1	15
SPG51	AP4E1	15
STUT1	AP4E1	15
GPR161	GPR161	1
RE2	GPR161	1
RHOQ	RHOQ	2
ARHQ	RHOQ	2
HEL-S-42	RHOQ	2
RASL7A	RHOQ	2
TC10	RHOQ	2
TC10A	RHOQ	2
LINC01565	LINC01565	3
C3orf27	LINC01565	3
GR6	LINC01565	3
TARDBP	TARDBP	1
ALS10	TARDBP	1
TDP-43	TARDBP	1
CELA3B	CELA3B	1
CBPP	CELA3B	1
ELA3B	CELA3B	1
TRS-AGA2-3	TRS-AGA2-3	6
TRNAS2	TRS-AGA2-3	6
TRNS	TRS-AGA2-3	6
TRS-AGA2-4	TRS-AGA2-3	6
TRS2	TRS-AGA2-3	6
tRNA-SER	TRS-AGA2-3	6
HARS2	HARS2	5
HARSL	HARS2	5
HARSR	HARS2	5
HO3	HARS2	5
PRLTS2	HARS2	5
ATP1B4	ATP1B4	X
-	ATP1B4	X
OTP	OTP	5
-	OTP	5
SLC35A3	SLC35A3	1
AMRS	SLC35A3	1
SLC44A1	SLC44A1	9
CD92	SLC44A1	9
CDW92	SLC44A1	9
CHTL1	SLC44A1	9
CTL1	SLC44A1	9
CDW93	CDW93	-
-	CDW93	-
CD139	CD139	-
-	CD139	-
CD165	CD165	-
-	CD165	-
SF3B3	SF3B3	16
RSE1	SF3B3	16
SAP130	SF3B3	16
SF3b130	SF3B3	16
STAF130	SF3B3	16
SF3B1	SF3B1	2
Hsh155	SF3B1	2
MDS	SF3B1	2
PRP10	SF3B1	2
PRPF10	SF3B1	2
SAP155	SF3B1	2
SF3b155	SF3B1	2
ANGPTL2	ANGPTL2	9
ARP2	ANGPTL2	9
HARP	ANGPTL2	9
ABCB10	ABCB10	1
EST20237	ABCB10	1
M-ABC2	ABCB10	1
MTABC2	ABCB10	1
ABCB9	ABCB9	12
EST122234	ABCB9	12
TAPL	ABCB9	12
CMD1H	CMD1H	2
-	CMD1H	2
ABCA6	ABCA6	17
EST155051	ABCA6	17
ABCA5	ABCA5	17
ABC13	ABCA5	17
EST90625	ABCA5	17
HEY1	HEY1	8
BHLHb31	HEY1	8
CHF2	HEY1	8
HERP2	HEY1	8
HESR1	HEY1	8
HRT-1	HEY1	8
OAF1	HEY1	8
hHRT1	HEY1	8
ICMT	ICMT	1
HSTE14	ICMT	1
MST098	ICMT	1
MSTP098	ICMT	1
PCCMT	ICMT	1
PCMT	ICMT	1
PPMT	ICMT	1
GCAT	GCAT	22
KBL	GCAT	22
CBX6	CBX6	22
-	CBX6	22
NPTXR	NPTXR	22
NPR	NPTXR	22
CBX5	CBX5	12
HEL25	CBX5	12
HP1	CBX5	12
HP1A	CBX5	12
PHF3	PHF3	6
-	PHF3	6
TRAM1	TRAM1	8
PNAS8	TRAM1	8
TRAM	TRAM1	8
TRAMP	TRAM1	8
CAPN7	CAPN7	3
CALPAIN7	CAPN7	3
PALBH	CAPN7	3
ETHE1	ETHE1	19
HSCO	ETHE1	19
YF13H12	ETHE1	19
QPRT	QPRT	16
HEL-S-90n	QPRT	16
QPRTase	QPRT	16
BRD4	BRD4	19
CAP	BRD4	19
HUNK1	BRD4	19
HUNKI	BRD4	19
MCAP	BRD4	19
SEC11A	SEC11A	15
1810012E07Rik	SEC11A	15
SEC11L1	SEC11A	15
SPC18	SEC11A	15
SPCS4A	SEC11A	15
sid2895	SEC11A	15
ISCU	ISCU	12
2310020H20Rik	ISCU	12
HML	ISCU	12
ISU2	ISCU	12
NIFU	ISCU	12
NIFUN	ISCU	12
hnifU	ISCU	12
SEC61G	SEC61G	7
SSS1	SEC61G	7
PES1	PES1	22
PES	PES1	22
TGDS	TGDS	13
CATMANS	TGDS	13
SDR2E1	TGDS	13
TDPGD	TGDS	13
LEPROTL1	LEPROTL1	8
HSPC112	LEPROTL1	8
Vps55	LEPROTL1	8
my047	LEPROTL1	8
CES3	CES3	16
ES31	CES3	16
CBX7	CBX7	22
-	CBX7	22
HEY2	HEY2	6
CHF1	HEY2	6
GRIDLOCK	HEY2	6
GRL	HEY2	6
HERP1	HEY2	6
HESR2	HEY2	6
HRT2	HEY2	6
bHLHb32	HEY2	6
TNFRSF13B	TNFRSF13B	17
CD267	TNFRSF13B	17
CVID	TNFRSF13B	17
CVID2	TNFRSF13B	17
IGAD2	TNFRSF13B	17
RYZN	TNFRSF13B	17
TACI	TNFRSF13B	17
TNFRSF14B	TNFRSF13B	17
HAAO	HAAO	2
3-HAO	HAAO	2
HAO	HAAO	2
MACF1	MACF1	1
ABP620	MACF1	1
ACF7	MACF1	1
MACF	MACF1	1
OFC4	MACF1	1
DAAM2	DAAM2	6
dJ90A20A.1	DAAM2	6
ZFYVE26	ZFYVE26	14
FYVE-CENT	ZFYVE26	14
SPG15	ZFYVE26	14
RIMBP2	RIMBP2	12
PPP1R133	RIMBP2	12
RBP2	RIMBP2	12
RIM-BP2	RIMBP2	12
TMEM131	TMEM131	2
CC28	TMEM131	2
PRO1048	TMEM131	2
RW1	TMEM131	2
YR-23	TMEM131	2
GLTSCR1L	GLTSCR1L	6
KIAA0240	GLTSCR1L	6
LRRC8B	LRRC8B	1
TA-LRRP	LRRC8B	1
TALRRP	LRRC8B	1
TTC9	TTC9	14
TTC9A	TTC9	14
POFUT1	POFUT1	20
DDD2	POFUT1	20
FUT12	POFUT1	20
O-FUT	POFUT1	20
O-Fuc-T	POFUT1	20
O-FucT-1	POFUT1	20
OFUCT1	POFUT1	20
KCTD2	KCTD2	17
-	KCTD2	17
NUP188	NUP188	9
KIAA0169	NUP188	9
hNup188	NUP188	9
SUZ12	SUZ12	17
CHET9	SUZ12	17
JJAZ1	SUZ12	17
SCRIB	SCRIB	8
CRIB1	SCRIB	8
SCRB1	SCRIB	8
SCRIB1	SCRIB	8
Vartul	SCRIB	8
SPIDR	SPIDR	8
KIAA0146	SPIDR	8
MORC3	MORC3	21
NXP2	MORC3	21
ZCW5	MORC3	21
ZCWCC3	MORC3	21
SLC39A14	SLC39A14	8
HMNDYT2	SLC39A14	8
LZT-Hs4	SLC39A14	8
NET34	SLC39A14	8
ZIP14	SLC39A14	8
cig19	SLC39A14	8
SKIV2L2	SKIV2L2	5
Dob1	SKIV2L2	5
KIAA0052	SKIV2L2	5
Mtr4	SKIV2L2	5
fSAP118	SKIV2L2	5
R3HDM1	R3HDM1	2
R3HDM	R3HDM1	2
ANP32D	ANP32D	12
PP32R2	ANP32D	12
ANP32C	ANP32C	4
PP32R1	ANP32C	4
RPL13A	RPL13A	19
L13A	RPL13A	19
TSTA1	RPL13A	19
KAT6B	KAT6B	10
GTPTS	KAT6B	10
MORF	KAT6B	10
MOZ2	KAT6B	10
MYST4	KAT6B	10
ZC2HC6B	KAT6B	10
qkf	KAT6B	10
querkopf	KAT6B	10
CABIN1	CABIN1	22
CAIN	CABIN1	22
KB-318B8.7	CABIN1	22
PPP3IN	CABIN1	22
SRRM2	SRRM2	16
300-KD	SRRM2	16
CWF21	SRRM2	16
Cwc21	SRRM2	16
HSPC075	SRRM2	16
SRL300	SRRM2	16
SRm300	SRRM2	16
ARHGAP45	ARHGAP45	19
HA-1	ARHGAP45	19
HLA-HA1	ARHGAP45	19
HMHA1	ARHGAP45	19
ACAP2	ACAP2	3
CENTB2	ACAP2	3
CNT-B2	ACAP2	3
ZNF281	ZNF281	1
ZBP-99	ZNF281	1
ZNP-99	ZNF281	1
CLCF1	CLCF1	11
BSF-3	CLCF1	11
BSF3	CLCF1	11
CISS2	CLCF1	11
CLC	CLCF1	11
NNT-1	CLCF1	11
NNT1	CLCF1	11
NR6	CLCF1	11
NNT	NNT	5
GCCD4	NNT	5
MMD	MMD	17
MMA	MMD	17
MMD1	MMD	17
PAQR11	MMD	17
PRAME	PRAME	22
CT130	PRAME	22
MAPE	PRAME	22
OIP-4	PRAME	22
OIP4	PRAME	22
PIK3R5	PIK3R5	17
F730038I15Rik	PIK3R5	17
FOAP-2	PIK3R5	17
P101-PI3K	PIK3R5	17
p101	PIK3R5	17
TNPO3	TNPO3	7
IPO12	TNPO3	7
LGMD1F	TNPO3	7
MTR10A	TNPO3	7
TRN-SR	TNPO3	7
TRN-SR2	TNPO3	7
TRNSR	TNPO3	7
ADAT1	ADAT1	16
HADAT1	ADAT1	16
OR52A1	OR52A1	11
HPFH1OR	OR52A1	11
SLC16A8	SLC16A8	22
MCT3	SLC16A8	22
REMP	SLC16A8	22
TRS-TGA4-1	TRS-TGA4-1	6
TRNAS3	TRS-TGA4-1	6
TRS3	TRS-TGA4-1	6
SEC14L2	SEC14L2	22
C22orf6	SEC14L2	22
SPF	SEC14L2	22
TAP	SEC14L2	22
TAP1	SEC14L2	22
MAPK8IP2	MAPK8IP2	22
IB-2	MAPK8IP2	22
IB2	MAPK8IP2	22
JIP2	MAPK8IP2	22
PRKM8IPL	MAPK8IP2	22
RBFOX2	RBFOX2	22
FOX2	RBFOX2	22
Fox-2	RBFOX2	22
HNRBP2	RBFOX2	22
HRNBP2	RBFOX2	22
RBM9	RBFOX2	22
RTA	RBFOX2	22
dJ106I20.3	RBFOX2	22
fxh	RBFOX2	22
SEZ6L	SEZ6L	22
-	SEZ6L	22
ATP6V0A2	ATP6V0A2	12
A2	ATP6V0A2	12
ARCL	ATP6V0A2	12
ARCL2A	ATP6V0A2	12
ATP6A2	ATP6V0A2	12
ATP6N1D	ATP6V0A2	12
J6B7	ATP6V0A2	12
RTF	ATP6V0A2	12
STV1	ATP6V0A2	12
TJ6	ATP6V0A2	12
TJ6M	ATP6V0A2	12
TJ6S	ATP6V0A2	12
VPH1	ATP6V0A2	12
WSS	ATP6V0A2	12
SYNGR4	SYNGR4	19
-	SYNGR4	19
LILRA4	LILRA4	19
CD85g	LILRA4	19
ILT7	LILRA4	19
TTC33	TTC33	5
OSRF	TTC33	5
DNPEP	DNPEP	2
ASPEP	DNPEP	2
DAP	DNPEP	2
PSD4	PSD4	2
EFA6B	PSD4	2
TIC	PSD4	2
RASD2	RASD2	22
MGC:4834	RASD2	22
Rhes	RASD2	22
TEM2	RASD2	22
CDK20	CDK20	9
CCRK	CDK20	9
CDCH	CDK20	9
P42	CDK20	9
PNQALRE	CDK20	9
HYAL4	HYAL4	7
CSHY	HYAL4	7
TSPAN12	TSPAN12	7
EVR5	TSPAN12	7
NET-2	TSPAN12	7
NET2	TSPAN12	7
TM4SF12	TSPAN12	7
TSPAN15	TSPAN15	10
2700063A19Rik	TSPAN15	10
NET-7	TSPAN15	10
NET7	TSPAN15	10
TM4SF15	TSPAN15	10
PIGN	PIGN	18
MCAHS	PIGN	18
MCAHS1	PIGN	18
MCD4	PIGN	18
MDC4	PIGN	18
PIG-N	PIGN	18
SNAPIN	SNAPIN	1
BLOC1S7	SNAPIN	1
BLOS7	SNAPIN	1
BORCS3	SNAPIN	1
SNAPAP	SNAPIN	1
WBP2	WBP2	17
GRAMD6	WBP2	17
WBP-2	WBP2	17
WBP1	WBP1	2
WBP-1	WBP1	2
GTPBP4	GTPBP4	10
CRFG	GTPBP4	10
NGB	GTPBP4	10
NOG1	GTPBP4	10
CLDN14	CLDN14	21
DFNB29	CLDN14	21
CHST5	CHST5	16
I-GlcNAc-6-ST	CHST5	16
I-GlcNAc6ST	CHST5	16
glcNAc6ST-3	CHST5	16
gn6st-3	CHST5	16
hIGn6ST	CHST5	16
DDAH2	DDAH2	6
DDAH	DDAH2	6
DDAHII	DDAH2	6
G6a	DDAH2	6
HEL-S-277	DDAH2	6
NG30	DDAH2	6
LPAR3	LPAR3	1
EDG7	LPAR3	1
Edg-7	LPAR3	1
GPCR	LPAR3	1
HOFNH30	LPAR3	1
LP-A3	LPAR3	1
LPA3	LPAR3	1
RP4-678I3	LPAR3	1
ZNF346	ZNF346	5
JAZ	ZNF346	5
Zfp346	ZNF346	5
ARL2BP	ARL2BP	16
BART	ARL2BP	16
BART1	ARL2BP	16
RP66	ARL2BP	16
PADI4	PADI4	1
PAD	PADI4	1
PAD4	PADI4	1
PADI5	PADI4	1
PDI4	PADI4	1
PDI5	PADI4	1
PRG1	PRG1	19
-	PRG1	19
DDAH1	DDAH1	1
DDAH	DDAH1	1
DDAH-1	DDAH1	1
DDAHI	DDAH1	1
HEL-S-16	DDAH1	1
CDC42EP4	CDC42EP4	17
BORG4	CDC42EP4	17
CEP4	CDC42EP4	17
KAIA1777	CDC42EP4	17
CASP14	CASP14	19
-	CASP14	19
CCNDBP1	CCNDBP1	15
DIP1	CCNDBP1	15
GCIP	CCNDBP1	15
HHM	CCNDBP1	15
SMUG1	SMUG1	12
FDG	SMUG1	12
HMUDG	SMUG1	12
UNG3	SMUG1	12
VSIG2	VSIG2	11
2210413P10Rik	VSIG2	11
CTH	VSIG2	11
CTXL	VSIG2	11
TMEM50A	TMEM50A	1
IFNRC	TMEM50A	1
SMP1	TMEM50A	1
DDX58	DDX58	9
RIG-I	DDX58	9
RIGI	DDX58	9
RLR-1	DDX58	9
SGMRT2	DDX58	9
ELP5	ELP5	17
C17orf81	ELP5	17
DERP6	ELP5	17
HSPC002	ELP5	17
MST071	ELP5	17
MSTP071	ELP5	17
KLHDC2	KLHDC2	14
HCLP-1	KLHDC2	14
HCLP1	KLHDC2	14
LCP	KLHDC2	14
CARHSP1	CARHSP1	16
CRHSP-24	CARHSP1	16
CRHSP24	CARHSP1	16
CSDC1	CARHSP1	16
PDSS1	PDSS1	10
COQ1	PDSS1	10
COQ10D2	PDSS1	10
DPS	PDSS1	10
SPS	PDSS1	10
TPRT	PDSS1	10
TPT	PDSS1	10
TPT 1	PDSS1	10
hDPS1	PDSS1	10
FAM215A	FAM215A	17
APR-2	FAM215A	17
C17orf88	FAM215A	17
LINC00530	FAM215A	17
LEMD3	LEMD3	12
MAN1	LEMD3	12
HEBP2	HEBP2	6
C6ORF34B	HEBP2	6
C6orf34	HEBP2	6
PP23	HEBP2	6
SOUL	HEBP2	6
ORC6	ORC6	16
ORC6L	ORC6	16
ORC3	ORC3	6
LAT	ORC3	6
LATHEO	ORC3	6
ORC3L	ORC3	6
OPN3	OPN3	1
ECPN	OPN3	1
PPP1R116	OPN3	1
ACOT9	ACOT9	X
ACATE2	ACOT9	X
CGI-16	ACOT9	X
MT-ACT48	ACOT9	X
MTACT48	ACOT9	X
PATZ1	PATZ1	22
MAZR	PATZ1	22
PATZ	PATZ1	22
RIAZ	PATZ1	22
ZBTB19	PATZ1	22
ZNF278	PATZ1	22
ZSG	PATZ1	22
dJ400N23	PATZ1	22
AMACR	AMACR	5
AMACRD	AMACR	5
CBAS4	AMACR	5
P504S	AMACR	5
RACE	AMACR	5
RM	AMACR	5
CLEC5A	CLEC5A	7
CLECSF5	CLEC5A	7
MDL-1	CLEC5A	7
MDL1	CLEC5A	7
CORO1C	CORO1C	12
HCRNN4	CORO1C	12
DAPK2	DAPK2	15
DRP-1	DAPK2	15
DRP1	DAPK2	15
HMGN2P9	HMGN2P9	22
HMG17L1	HMGN2P9	22
HMGN2L9	HMGN2P9	22
dJ388M5	HMGN2P9	22
dJ388M5.2	HMGN2P9	22
HMGN2P10	HMGN2P10	22
HMG17L2	HMGN2P10	22
HMGN2L10	HMGN2P10	22
bK216E10	HMGN2P10	22
CD2AP	CD2AP	6
CMS	CD2AP	6
MKRN1	MKRN1	7
RNF61	MKRN1	7
MKRN2	MKRN2	3
HSPC070	MKRN2	3
RNF62	MKRN2	3
MKRN6P	MKRN6P	6
MKRNP2	MKRN6P	6
PHLDA3	PHLDA3	1
TIH1	PHLDA3	1
ZMYND8	ZMYND8	20
PRKCBP1	ZMYND8	20
PRO2893	ZMYND8	20
RACK7	ZMYND8	20
PPY2P	PPY2P	17
PPY2	PPY2P	17
PYY2	PYY2	17
-	PYY2	17
SH3BP1	SH3BP1	22
ARHGAP43	SH3BP1	22
TSSK2	TSSK2	22
DGS-G	TSSK2	22
SPOGA2	TSSK2	22
STK22B	TSSK2	22
TSK2	TSSK2	22
ZIM2	ZIM2	19
ZNF656	ZIM2	19
NTSR2	NTSR2	2
NTR2	NTSR2	2
BACE1	BACE1	11
ASP2	BACE1	11
BACE	BACE1	11
HSPC104	BACE1	11
RUSC1	RUSC1	1
NESCA	RUSC1	1
CBLC	CBLC	19
CBL-3	CBLC	19
CBL-SL	CBLC	19
RNF57	CBLC	19
FAM89B	FAM89B	11
LRAP25	FAM89B	11
MTVR	FAM89B	11
MTVR1	FAM89B	11
SPO11	SPO11	20
CT35	SPO11	20
SPATA43	SPO11	20
TOPVIA	SPO11	20
PRND	PRND	20
DOPPEL	PRND	20
DPL	PRND	20
PrPLP	PRND	20
dJ1068H6.4	PRND	20
BRD7P3	BRD7P3	6
BP75	BRD7P3	6
KCNE5	KCNE5	X
KCNE1L	KCNE5	X
CA14	CA14	1
CAXiV	CA14	1
KPNA6	KPNA6	1
IPOA7	KPNA6	1
KPNA7	KPNA6	1
SSBP2	SSBP2	5
HSPC116	SSBP2	5
SOSS-B2	SSBP2	5
NUP62	NUP62	19
IBSN	NUP62	19
SNDI	NUP62	19
p62	NUP62	19
RABGAP1	RABGAP1	9
GAPCENA	RABGAP1	9
TBC1D11	RABGAP1	9
LRRC6	LRRC6	8
CILD19	LRRC6	8
LRTP	LRRC6	8
TSLRP	LRRC6	8
HSPBP1	HSPBP1	19
FES1	HSPBP1	19
LDOC1	LDOC1	X
BCUR1	LDOC1	X
Mar7	LDOC1	X
Mart7	LDOC1	X
SNHG1	SNHG1	11
LINC00057	SNHG1	11
NCRNA00057	SNHG1	11
U22HG	SNHG1	11
UHG	SNHG1	11
LY96	LY96	8
ESOP-1	LY96	8
MD-2	LY96	8
MD2	LY96	8
ly-96	LY96	8
EDC4	EDC4	16
GE1	EDC4	16
Ge-1	EDC4	16
HEDL5	EDC4	16
HEDLS	EDC4	16
RCD-8	EDC4	16
RCD8	EDC4	16
PPP1R15A	PPP1R15A	19
GADD34	PPP1R15A	19
PLD3	PLD3	19
AD19	PLD3	19
HU-K4	PLD3	19
HUK4	PLD3	19
ARFIP2	ARFIP2	11
POR1	ARFIP2	11
SSBP3	SSBP3	1
CSDP	SSBP3	1
SSDP	SSBP3	1
SSDP1	SSBP3	1
POLA2	POLA2	11
-	POLA2	11
TRIM29	TRIM29	11
ATDC	TRIM29	11
PLXNB2	PLXNB2	22
MM1	PLXNB2	22
Nbla00445	PLXNB2	22
PLEXB2	PLXNB2	22
dJ402G11.3	PLXNB2	22
SLC7A11	SLC7A11	4
CCBR1	SLC7A11	4
xCT	SLC7A11	4
LSM5	LSM5	7
YER146W	LSM5	7
PLA2G15	PLA2G15	16
ACS	PLA2G15	16
GXVPLA2	PLA2G15	16
LLPL	PLA2G15	16
LPLA2	PLA2G15	16
LYPLA3	PLA2G15	16
ZKSCAN5	ZKSCAN5	7
ZFP-95	ZKSCAN5	7
ZFP95	ZKSCAN5	7
ZNF914	ZKSCAN5	7
ZSCAN37	ZKSCAN5	7
USH3B	USH3B	-
-	USH3B	-
UBBP4	UBBP4	17
-	UBBP4	17
UBBP3	UBBP3	2
-	UBBP3	2
UBBP2	UBBP2	1
-	UBBP2	1
TMEM2	TMEM2	9
-	TMEM2	9
TMEFF2	TMEFF2	2
CT120.2	TMEFF2	2
HPP1	TMEFF2	2
TENB2	TMEFF2	2
TPEF	TMEFF2	2
TR	TMEFF2	2
TR-2	TMEFF2	2
STX12	STX12	1
STX13	STX12	1
STX14	STX12	1
SMPX	SMPX	X
DFN6	SMPX	X
DFNX4	SMPX	X
SH3BP4	SH3BP4	2
BOG25	SH3BP4	2
TTP	SH3BP4	2
SGK3	SGK3	8
CISK	SGK3	8
SGK2	SGK3	8
SGKL	SGK3	8
SELENOWP1	SELENOWP1	1
SEPW1P	SELENOWP1	1
RAB38	RAB38	11
NY-MEL-1	RAB38	11
rrGTPbp	RAB38	11
PRKD3	PRKD3	2
EPK2	PRKD3	2
PKC-NU	PRKD3	2
PKD3	PRKD3	2
PRKCN	PRKD3	2
nPKC-NU	PRKD3	2
PQBP4	PQBP4	-
-	PQBP4	-
NNO1	NNO1	11
-	NNO1	11
MRX73	MRX73	X
-	MRX73	X
MRX70	MRX70	X
-	MRX70	X
MRX69	MRX69	X
-	MRX69	X
MRX67	MRX67	X
-	MRX67	X
MRX66	MRX66	X
-	MRX66	X
KCNE4	KCNE4	2
MIRP3	KCNE4	2
CADM1	CADM1	11
BL2	CADM1	11
IGSF4	CADM1	11
IGSF4A	CADM1	11
NECL2	CADM1	11
Necl-2	CADM1	11
RA175	CADM1	11
ST17	CADM1	11
SYNCAM	CADM1	11
TSLC1	CADM1	11
sTSLC-1	CADM1	11
sgIGSF	CADM1	11
synCAM1	CADM1	11
IBGC1	IBGC1	14
BGCI	IBGC1	14
IBGC	IBGC1	14
GSPT2	GSPT2	X
ERF3B	GSPT2	X
GST2	GSPT2	X
GABARAPL1	GABARAPL1	12
APG8-LIKE	GABARAPL1	12
APG8L	GABARAPL1	12
ATG8	GABARAPL1	12
ATG8B	GABARAPL1	12
ATG8L	GABARAPL1	12
GEC1	GABARAPL1	12
DFNB27	DFNB27	2
-	DFNB27	2
DFNB26	DFNB26	4
-	DFNB26	4
DFNA30	DFNA30	15
-	DFNA30	15
DFNA29	DFNA29	-
-	DFNA29	-
DFNA27	DFNA27	4
-	DFNA27	4
DFNA24	DFNA24	4
-	DFNA24	4
CFM2	CFM2	-
-	CFM2	-
SHPK	SHPK	17
CARKL	SHPK	17
SHK	SHPK	17
TMEM245	TMEM245	9
C9orf5	TMEM245	9
CG-2	TMEM245	9
CG2	TMEM245	9
FRRS1L	FRRS1L	9
C9orf4	FRRS1L	9
CG-6	FRRS1L	9
CG6	FRRS1L	9
EIEE37	FRRS1L	9
OFD1P17	OFD1P17	5
71-7A3	OFD1P17	5
71-7A5	OFD1P17	5
C5orf1	OFD1P17	5
OFD1P1	OFD1P17	5
C3CER1	C3CER1	3
CER1	C3CER1	3
EID1	EID1	15
C15orf3	EID1	15
CRI1	EID1	15
EID-1	EID1	15
IRO45620	EID1	15
PNAS-22	EID1	15
PTD014	EID1	15
RBP21	EID1	15
NPAP1	NPAP1	15
C15orf2	NPAP1	15
BHMT2	BHMT2	5
-	BHMT2	5
ATP5EP1	ATP5EP1	4
-	ATP5EP1	4
AIPL1	AIPL1	17
AIPL2	AIPL1	17
LCA4	AIPL1	17
YME1L1P1	YME1L1P1	22
YME1L2	YME1L1P1	22
TOP3BP1	TOP3BP1	22
TOP3B2	TOP3BP1	22
TSSK1A	TSSK1A	22
SPOGA1	TSSK1A	22
STK22A	TSSK1A	22
TSSK1	TSSK1A	22
TSSK1AP	TSSK1A	22
TSSK1b	TSSK1A	22
TSSK7P	TSSK1A	22
SDF2L1	SDF2L1	22
-	SDF2L1	22
RPL32P5	RPL32P5	22
RPL32L2	RPL32P5	22
RPL32_23_1737	RPL32P5	22
SIRPAP1	SIRPAP1	22
PTPNS1L	SIRPAP1	22
SIRPA2P	SIRPAP1	22
RPS24P1	RPS24P1	Y
